SA2_MAINCODE_2011,SA2_NAME_2011,SUA_CODE_2011,SUA_NAME_2011,AREA_ALBERS_SQKM
209011199,Heidelberg West,2011,Melbourne,6.6911137432
209011200,Ivanhoe,2011,Melbourne,5.0503267306
209011201,Ivanhoe East - Eaglemont,2011,Melbourne,4.2776699611
209011202,Montmorency - Briar Hill,2011,Melbourne,12.0277821943
209011203,Viewbank - Yallambie,2011,Melbourne,10.2385731397
209011204,Watsonia,2011,Melbourne,3.7855957287
209021205,Kingsbury,2011,Melbourne,9.0090920074
209021206,Preston,2011,Melbourne,11.3127328417
209021207,Reservoir - East,2011,Melbourne,8.9666243366
209021208,Reservoir - West,2011,Melbourne,10.1553279425
209031209,Eltham,2011,Melbourne,19.4874749215
209031210,Hurstbridge,2011,Melbourne,14.8418985452
209031211,Kinglake,2000,Not in any Significant Urban Area (Vic.),319.5044103874
209031212,Panton Hill - St Andrews,2000,Not in any Significant Urban Area (Vic.),292.1981150280
209031213,Plenty - Yarrambat,2011,Melbourne,29.1170401127
209031214,Research - North Warrandyte,2011,Melbourne,49.7950347672
209031215,Wattle Glen - Diamond Creek,2011,Melbourne,26.8245884970
209041216,Bundoora - North,2011,Melbourne,4.7144629280
209041217,Bundoora - West,2011,Melbourne,2.5607570543
209041218,Epping,2011,Melbourne,84.8897320991
209041219,Lalor,2011,Melbourne,12.0641921098
209041220,Mill Park - North,2011,Melbourne,8.1358292845
209041221,Mill Park - South,2011,Melbourne,4.9258434967
209041222,South Morang,2011,Melbourne,59.7385805055
209041223,Thomastown,2011,Melbourne,14.6842464398
209041224,Wallan,2000,Not in any Significant Urban Area (Vic.),507.7412417557
209041225,Whittlesea,2000,Not in any Significant Urban Area (Vic.),297.9926448314
210011226,Airport West,2011,Melbourne,3.7197824634
210011227,Essendon Airport,2011,Melbourne,3.3549223861
210011228,Keilor,2011,Melbourne,17.5122774673
210011229,Keilor East,2011,Melbourne,10.8919303174
210011230,Niddrie - Essendon West,2011,Melbourne,2.8030036607
210011231,Strathmore,2011,Melbourne,4.1446382818
210021232,Gisborne,2009,Gisborne - Macedon,211.0494010889
210021233,Macedon,2009,Gisborne - Macedon,72.9909515665
210021234,Riddells Creek,2009,Gisborne - Macedon,83.3495546052
210021235,Romsey,2000,Not in any Significant Urban Area (Vic.),624.7093380859
210031236,Coburg North,2011,Melbourne,4.8781972938
210031237,Fawkner,2011,Melbourne,5.0849274681
210031238,Glenroy - Hadfield,2011,Melbourne,13.4316684223
210031239,Pascoe Vale,2011,Melbourne,6.9837249409
210041240,Sunbury,2011,Melbourne,129.5485278620
210041241,Sunbury - South,2011,Melbourne,131.1357814826
210051242,Broadmeadows,2011,Melbourne,8.8266886842
210051243,Campbellfield - Coolaroo,2011,Melbourne,18.1866309213
