SA2_MAINCODE_2011,SA2_NAME_2011,SUA_CODE_2011,SUA_NAME_2011,AREA_ALBERS_SQKM
304041102,Mount Coot-tha,3001,Brisbane,14.6021072934
304041103,The Gap,3001,Brisbane,12.2551436512
304041104,Upper Kedron - Ferny Grove,3001,Brisbane,13.2179624078
305011105,Brisbane City,3001,Brisbane,2.2236162154
305011106,Fortitude Valley,3001,Brisbane,1.2708638488
305011107,Highgate Hill,3001,Brisbane,1.2101904603
305011108,Kangaroo Point,3001,Brisbane,1.3013069517
305011109,New Farm,3001,Brisbane,2.1253389988
305011110,South Brisbane,3001,Brisbane,1.9818872265
305011111,Spring Hill,3001,Brisbane,1.2441755866
305011112,West End,3001,Brisbane,1.9253945726
305021113,Balmoral,3001,Brisbane,1.3828610543
305021114,Bulimba,3001,Brisbane,2.0369184942
305021115,East Brisbane,3001,Brisbane,1.9278150069
305021116,Hawthorne,3001,Brisbane,1.3862004929
