long,lat,id,name,pop,area,hex_long,hex_lat,hex_id,distance
149.1498122790481,-35.2976341781199,2240,Russell,3,0.4939,149.22112402300007,-35.25856216899994,3930,7802.849850726324
130.88531864031341,-12.380687656301225,2128,Wagaman,2337,0.8378,130.92112402300006,-12.458562168999936,14205,9453.126588287516
151.21917844378612,-33.87780091574807,339,Darlinghurst,12202,0.8569,151.17112402300006,-33.75856216899994,4616,13953.605144201569
130.8881547011325,-12.37113660754357,2129,Wanguri,1996,0.8855,130.77112402300006,-12.158562168999936,14340,26739.93699328158
149.1410562138479,-35.282447034631204,2239,Reid,1655,0.9367,148.92112402300006,-35.25856216899994,3929,20186.29699959701
150.91375429420074,-33.73358421775466,321,Acacia Gardens,3905,0.9466,150.87112402300008,-33.75856216899994,4615,4824.846572608252
130.88095096992714,-12.388418724147018,2124,Moil,2142,1.0424,130.62112402300005,-12.458562168999936,14204,29297.573127367705
149.07864877644315,-35.40945909509584,2267,Oxley (ACT),1689,1.0865,149.07112402300007,-35.558562168999934,3793,16556.38283274188
149.1396359427176,-35.29308604989471,2238,Parkes (ACT) - North,3,1.0976,149.52112402300006,-35.25856216899994,3931,34919.989265091586
130.84462445290134,-12.433012347400728,2107,Parap,2967,1.1022,130.77112402300006,-12.758562168999937,14068,36886.5736387969
149.13562753751418,-35.30938520285518,2249,Barton,1498,1.1901,149.37112402300008,-35.558562168999934,3794,34950.50372440083
153.0174483423352,-27.48783117089115,1148,Highgate Hill,6705,1.21,153.12112402300005,-27.458562168999936,7479,10748.161304252895
130.87305774991196,-12.379411425577556,2110,Alawa,2292,1.2399,131.07112402300007,-12.158562168999936,14341,32575.086834733982
153.02493389494214,-27.459102828036983,1152,Spring Hill,6468,1.2432,152.82112402300007,-27.458562168999936,7478,20147.05191886488
130.895507754992,-12.383494736321678,2130,Wulagi,2557,1.2629,131.22112402300007,-12.458562168999936,14206,36365.90655235087
144.98809216146176,-37.80222536739345,718,Collingwood,9144,1.2671,145.02112402300006,-37.658562168999936,2828,16208.606334934644
151.11992254913352,-34.066640339861806,565,Lilli Pilli - Port Hacking - Dolans Bay,3264,1.2706,151.02112402300006,-34.058562168999934,4480,9165.001361929908
149.03386690912063,-35.31938232554316,2299,Wright,2865,1.2716,148.77112402300006,-35.558562168999934,3792,35683.53959538732
152.9949396221322,-27.473993558756426,1174,Auchenflower,5923,1.2722,152.97112402300007,-27.758562168999937,7342,31619.696995548744
153.0355914843607,-27.456872932861547,1147,Fortitude Valley,7622,1.2745,152.97112402300007,-27.158562168999936,7614,33663.78919143078
151.24382018455066,-33.8866839959586,357,Woollahra,8166,1.2805,151.32112402300007,-34.058562168999934,4481,20358.93861980854
149.08766571041716,-35.37216501877104,2293,Torrens,2207,1.3013,148.62112402300005,-35.25856216899994,3928,44259.549287459005
149.13174544350798,-35.40527710578196,2264,Macarthur,1456,1.3014,149.07112402300007,-34.95856216899993,4065,49865.11011366163
130.8728117507029,-12.389014097481573,2118,Jingili,1865,1.3163,131.07112402300007,-12.758562168999937,14069,46211.15685464761
151.2119628020634,-33.885431688467726,346,Surry Hills,17844,1.3164,151.47112402300007,-33.75856216899994,4617,27815.198856552932
130.89055338760636,-12.391094027185357,2111,Anula,2517,1.3178,130.47112402300007,-12.158562168999936,14339,52381.19872441384
130.99353905897877,-12.496759144702809,2136,Bakewell,3237,1.3185,131.37112402300008,-12.758562168999937,14070,50215.4586811211
138.51339093329037,-34.927357377043045,1677,Fulham,2729,1.3212,138.57112402300007,-34.95856216899993,4030,6308.765957538333
149.05002095001973,-35.23838165568753,2193,Page,3047,1.3225,148.77112402300006,-34.95856216899993,4064,40129.11844629593
149.04931263405075,-35.3495560096639,2278,Stirling,2151,1.3226,149.37112402300008,-34.95856216899993,4066,52358.19111162414
153.0368080222093,-27.477677026565377,1149,Kangaroo Point,8847,1.3389,153.42112402300006,-27.458562168999936,7480,38046.11564372396
144.97913271005675,-37.80100965340011,719,Fitzroy,11464,1.378,144.87112402300008,-37.95856216899993,2691,19901.96952426823
153.06757661604465,-27.456050366226357,1154,Balmoral,4494,1.3831,153.27112402300006,-27.158562168999936,7615,38632.50287532073
153.05920457764907,-27.463737494364327,1157,Hawthorne,5328,1.3864,153.27112402300006,-27.758562168999937,7343,38792.678028971604
153.0186788136945,-27.435147995107293,1170,Wilston,4153,1.3878,152.67112402300006,-27.158562168999936,7613,46075.91819885248
151.0671977187399,-33.924068134502015,383,Wiley Park,10847,1.3933,150.72112402300007,-34.058562168999934,4479,35284.86706154216
149.1468284601758,-35.315572701042846,2251,Kingston (ACT),4645,1.4038,149.67112402300006,-35.558562168999934,3795,54710.522079982315
149.13567389134,-35.270845607572255,2226,Braddon,5689,1.4078,149.67112402300006,-34.95856216899993,4067,59857.99882353325
149.07718180831742,-35.21750172713315,2191,McKellar,2835,1.414,148.47112402300007,-34.95856216899993,4063,62287.93839180648
130.85176549588905,-12.39602248150487,2116,Coconut Grove,3216,1.4242,130.47112402300007,-12.758562168999937,14067,57612.46666733861
149.0389843554115,-35.234479687685955,2194,Scullin,2980,1.426,148.47112402300007,-35.558562168999934,3791,62882.463305591235
149.12898996122505,-35.281352116830654,2227,Civic,4390,1.4309,149.82112402300007,-35.25856216899994,3932,63028.29619332959
130.84874302367868,-12.38372998291805,2125,Nightcliff,4150,1.4512,130.32112402300007,-12.458562168999936,14203,57963.60932465203
151.2240367165232,-33.87032393506564,343,Potts Point - Woolloomooloo,22990,1.4591,151.62112402300005,-34.058562168999934,4482,42224.55475280932
