long,lat,id,name,pop,area,hex_long,hex_lat,hex_id,distance
144.9626250427989,-37.81373060337506,699,Melbourne,41473,2.369,145.02112402300006,-37.658562168999936,2828,17977.29245204277
115.98000716753141,-31.7901760795201,1806,Ellenbrook,37251,37.7884,115.92112402300006,-31.658562168999936,5451,15623.669119721444
144.64663523531388,-37.82669254984309,966,Tarneit,36532,62.142,144.57112402300007,-37.95856216899993,2690,16073.02583589544
151.20676893492129,-33.90966881594098,348,Waterloo - Beaconsfield,35323,3.5809,151.17112402300006,-33.75856216899994,4616,17081.667760904144
115.82249534389004,-32.36488638399784,1932,Baldivis,34287,141.544,115.92112402300006,-32.25856216899994,5179,15009.26007326502
115.86278847418652,-31.950444965350204,1788,Perth City,33898,10.9161,115.77112402300007,-31.958562168999936,5314,8712.833356313831
150.91771134073866,-33.71034700652541,319,Parklea - Kellyville Ridge,33702,9.8132,150.87112402300008,-33.75856216899994,4615,6873.00268803943
145.00402944855597,-37.822870712232515,721,Richmond (Vic.),32848,6.2125,144.87112402300008,-37.95856216899993,2691,19065.747546101895
145.20974031957851,-38.03037578068305,910,Dandenong,32801,61.8243,145.17112402300006,-37.95856216899993,2692,8662.591405257022
153.24146274448844,-27.86109088422795,1299,Upper Coomera - Willow Vale,32210,125.8424,153.27112402300006,-27.758562168999937,7343,11731.140189137344
151.10554630417377,-33.914487407333276,378,Canterbury (South) - Campsie,32017,4.7777,151.02112402300006,-34.058562168999934,4480,17782.77165886538
153.0318640594118,-27.2335804936176,1432,North Lakes - Mango Hill,31141,27.1609,152.97112402300007,-27.158562168999936,7614,10262.141616122903
151.01725246199288,-33.82156927048667,515,Parramatta - Rosehill,30741,8.4965,150.72112402300007,-34.058562168999934,4479,37954.260497558935
151.24471797234835,-33.82932740302591,434,Mosman,30215,8.6503,151.47112402300007,-33.75856216899994,4617,22388.46009134822
151.18810742892364,-33.79766534610645,415,Chatswood (East) - Artarmon,29996,5.0678,151.32112402300007,-34.058562168999934,4481,31443.137780701625
151.20765738959508,-33.86818721039829,347,Sydney - Haymarket - The Rocks,29970,4.2934,151.62112402300005,-34.058562168999934,4482,43661.384973068336
150.98019288311335,-33.83074771684279,509,Merrylands - Holroyd,29836,6.7188,150.57112402300007,-33.75856216899994,4614,38720.50767361833
145.4897695794645,-38.09428869528668,888,Pakenham - South,29485,49.7574,145.47112402300007,-37.95856216899993,2693,15153.479672561918
150.75320415566753,-34.05906899087651,454,Mount Annan - Currans Hill,29235,26.134,150.42112402300006,-34.058562168999934,4478,30659.09448048944
144.90743721320587,-37.75082267923627,691,Essendon - Aberfeldie,28954,8.443,144.72112402300007,-37.658562168999936,2827,19360.00095206894
152.96568773681622,-27.61799405640614,1315,Forest Lake - Doolandella,28853,15.0377,152.97112402300007,-27.758562168999937,7342,15585.319775003485
150.9158337884068,-33.92337736175913,555,Liverpool,28680,6.3185,150.87112402300008,-34.35856216899994,4343,48446.71400215509
152.89872885256776,-31.478843363592638,165,Port Macquarie - East,28670,42.088,152.97112402300007,-31.35856216899994,5710,15007.657726680656
151.11216967684203,-33.81046129360005,529,Ryde,28506,7.2682,151.02112402300006,-33.45856216899993,4752,39933.223354525435
145.02161417811985,-37.7150403969643,785,Reservoir - East,28460,8.9663,145.32112402300007,-37.658562168999936,2829,27152.615333017144
151.04691460070103,-33.773780976478655,500,Carlingford,28396,9.7457,151.32112402300007,-33.45856216899993,4753,43241.536922235115
144.97994024867384,-37.86239609636675,710,St Kilda,28141,3.901,145.02112402300006,-38.25856216899994,2556,44120.47532434079
151.081262767882,-33.76894504613679,520,Epping - North Epping,28110,8.8806,150.72112402300007,-33.45856216899993,4751,47980.31928816943
151.60036830995682,-32.75436223972342,114,Maitland - East,28091,40.5895,151.62112402300005,-32.85856216899994,5026,11717.746411017799
151.166110748824,-33.821312210986285,417,Lane Cove - Greenwich,27960,9.0561,151.77112402300006,-33.75856216899994,4618,56463.66332703985
151.16101327168562,-33.88135231114882,404,Leichhardt - Annandale,27957,4.4723,151.17112402300006,-34.35856216899994,4344,52940.357391466074
151.15560060821394,-33.91121262240774,336,Marrickville,27924,5.8127,151.47112402300007,-34.35856216899994,4345,57525.78663270661
151.12071062334437,-33.95530808967937,392,Bexley,27881,5.2778,150.57112402300007,-34.35856216899994,4342,67596.61164143434
144.7742900724277,-37.787408047909345,930,Deer Park - Derrimut,27772,21.3348,144.42112402300006,-37.658562168999936,2826,34263.77776645908
144.96397061614974,-37.74484532507756,685,Coburg,27733,6.9346,144.87112402300008,-37.35856216899994,2963,43649.48230897711
144.6969056667684,-37.59275957661707,829,Sunbury - South,27706,131.1359,144.57112402300007,-37.35856216899994,2962,28273.23994589706
152.97147222179746,-27.063254101262128,1407,Caboolture,27635,74.4529,153.12112402300005,-26.858562168999935,7751,27113.454696057655
144.86435616310382,-37.75164510645556,815,Keilor East,27556,10.8916,145.17112402300006,-37.35856216899994,2964,51361.76548998183
145.16398455873713,-38.01458295079879,913,Keysborough,27377,30.2794,145.32112402300007,-38.25856216899994,2557,30383.591172746088
151.25606859907074,-33.92153530852602,358,Coogee - Clovelly,27325,3.8356,151.62112402300005,-33.45856216899993,4754,61501.84394128626
146.58893032719823,-38.19451008693207,674,Traralgon,27325,149.6729,146.52112402300006,-38.25856216899994,2561,9262.83344883097
150.93758187542142,-33.824157040659614,506,Greystanes - Pemulwuy,27324,11.8487,150.27112402300006,-33.75856216899994,4613,62150.0067601404
