long,lat,id,name,pop,area,hex_long,hex_lat,hex_id,distance
144.9626250427989,-37.81373060337506,699,Melbourne,41473,2.369,144.99938302460006,-37.95856216899993,3218,16397.00861146142
115.98000716753141,-31.7901760795201,1806,Ellenbrook,37251,37.7884,116.04938302460006,-31.658562168999936,6545,16005.87358880808
144.64663523531388,-37.82669254984309,966,Tarneit,36532,62.142,144.69938302460005,-37.95856216899993,3217,15354.195930116572
151.20676893492129,-33.90966881594098,348,Waterloo - Beaconsfield,35323,3.5809,151.14938302460007,-34.058562168999934,5358,17345.334330665388
115.82249534389004,-32.36488638399784,1932,Baldivis,34287,141.544,115.74938302460006,-32.25856216899994,6218,13653.288973055996
115.86278847418652,-31.950444965350204,1788,Perth City,33898,10.9161,115.89938302460007,-31.958562168999936,6381,3574.9092463834927
150.91771134073866,-33.71034700652541,319,Parklea - Kellyville Ridge,33702,9.8132,150.99938302460006,-33.75856216899994,5520,9267.452391882993
145.00402944855597,-37.822870712232515,721,Richmond (Vic.),32848,6.2125,145.14938302460007,-37.658562168999936,3382,22287.025008076158
145.20974031957851,-38.03037578068305,910,Dandenong,32801,61.8243,145.29938302460008,-37.95856216899993,3219,11204.484680004347
153.24146274448844,-27.86109088422795,1299,Upper Coomera - Willow Vale,32210,125.8424,153.09938302460006,-27.758562168999937,8787,18029.972397208112
151.10554630417377,-33.914487407333276,378,Canterbury (South) - Campsie,32017,4.7777,151.29938302460008,-33.75856216899994,5521,24920.40838382208
153.0318640594118,-27.2335804936176,1432,North Lakes - Mango Hill,31141,27.1609,153.09938302460006,-27.158562168999936,9113,10669.946490595445
151.01725246199288,-33.82156927048667,515,Parramatta - Rosehill,30741,8.4965,150.69938302460005,-33.75856216899994,5519,30257.43422695258
151.24471797234835,-33.82932740302591,434,Mosman,30215,8.6503,151.44938302460005,-34.058562168999934,5359,31693.596204135523
151.18810742892364,-33.79766534610645,415,Chatswood (East) - Artarmon,29996,5.0678,151.14938302460007,-33.45856216899993,5684,37781.53378683559
151.20765738959508,-33.86818721039829,347,Sydney - Haymarket - The Rocks,29970,4.2934,151.59938302460006,-33.75856216899994,5522,38253.485960951264
150.98019288311335,-33.83074771684279,509,Merrylands - Holroyd,29836,6.7188,150.84938302460006,-34.058562168999934,5357,28013.161694781298
145.4897695794645,-38.09428869528668,888,Pakenham - South,29485,49.7574,145.59938302460006,-37.95856216899993,3220,17876.77648738098
150.75320415566753,-34.05906899087651,454,Mount Annan - Currans Hill,29235,26.134,150.54938302460005,-34.058562168999934,5356,18817.718345379195
144.90743721320587,-37.75082267923627,691,Essendon - Aberfeldie,28954,8.443,144.84938302460006,-37.658562168999936,3381,11448.281273766492
152.96568773681622,-27.61799405640614,1315,Forest Lake - Doolandella,28853,15.0377,152.94938302460005,-27.458562168999936,8950,17739.228681492947
150.9158337884068,-33.92337736175913,555,Liverpool,28680,6.3185,150.99938302460006,-34.35856216899994,5194,48882.13270680642
152.89872885256776,-31.478843363592638,165,Port Macquarie - East,28670,42.088,152.79938302460008,-31.35856216899994,6830,16342.559719189041
151.11216967684203,-33.81046129360005,529,Ryde,28506,7.2682,150.84938302460006,-33.45856216899993,5683,46019.262872418265
145.02161417811985,-37.7150403969643,785,Reservoir - East,28460,8.9663,145.44938302460005,-37.658562168999936,3383,38249.74111969176
151.04691460070103,-33.773780976478655,500,Carlingford,28396,9.7457,151.44938302460005,-33.45856216899993,5685,51159.25507966701
144.97994024867384,-37.86239609636675,710,St Kilda,28141,3.901,144.54938302460005,-37.658562168999936,3380,44173.795433935375
151.081262767882,-33.76894504613679,520,Epping - North Epping,28110,8.8806,150.54938302460005,-33.45856216899993,5682,60179.01591235519
151.60036830995682,-32.75436223972342,114,Maitland - East,28091,40.5895,151.74938302460006,-32.85856216899994,6012,18119.486698094424
151.166110748824,-33.821312210986285,417,Lane Cove - Greenwich,27960,9.0561,151.74938302460006,-34.058562168999934,5360,60003.27901255105
151.16101327168562,-33.88135231114882,404,Leichhardt - Annandale,27957,4.4723,151.29938302460008,-34.35856216899994,5195,54449.723149050245
151.15560060821394,-33.91121262240774,336,Marrickville,27924,5.8127,151.59938302460006,-34.35856216899994,5196,64325.97918700488
151.12071062334437,-33.95530808967937,392,Bexley,27881,5.2778,150.69938302460005,-34.35856216899994,5193,59247.88502563778
144.7742900724277,-37.787408047909345,930,Deer Park - Derrimut,27772,21.3348,144.39938302460007,-37.95856216899993,3216,38065.79605494942
144.96397061614974,-37.74484532507756,685,Coburg,27733,6.9346,144.99938302460006,-37.35856216899994,3544,42985.512530932676
144.6969056667684,-37.59275957661707,829,Sunbury - South,27706,131.1359,144.69938302460005,-37.35856216899994,3543,25992.872984373465
152.97147222179746,-27.063254101262128,1407,Caboolture,27635,74.4529,152.79938302460008,-27.158562168999936,9112,20067.575682794348
144.86435616310382,-37.75164510645556,815,Keilor East,27556,10.8916,144.24938302460006,-37.658562168999936,3379,55207.37882591576
145.16398455873713,-38.01458295079879,913,Keysborough,27377,30.2794,145.14938302460007,-38.25856216899994,3056,27110.900955689205
151.25606859907074,-33.92153530852602,358,Coogee - Clovelly,27325,3.8356,151.89938302460007,-33.75856216899994,5523,62228.76160773664
146.58893032719823,-38.19451008693207,674,Traralgon,27325,149.6729,146.64938302460007,-38.25856216899994,3061,8863.872960394969
150.93758187542142,-33.824157040659614,506,Greystanes - Pemulwuy,27324,11.8487,150.39938302460007,-33.75856216899994,5518,50372.44248819063
